Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'437054',1957,8,1.09 
'437054',1957,9,2.7 
'437054',1957,10,1.89 
'437054',1957,11,3.33 
'437054',1957,12,4.06 
'437054',1958,1,4.83 
'437054',1958,2,1.92 
'437054',1958,3,1.11 
'437054',1958,4,2.93 
'437054',1958,5,3.32 
'437054',1958,6,3.55 
'437054',1958,7,4.44 
'437054',1958,8,2.36 
'437054',1958,9,3.39 
'437054',1958,10,4.4 
'437054',1958,11,2.44 
'437054',1958,12,1.48 
'437054',1959,1,3.59 
'437054',1959,2,2.63 
'437054',1959,3,2.22 
'437054',1959,4,0.83 
'437054',1959,5,1.19 
'437054',1959,6,2.98 
'437054',1959,7,1.27 
'437054',1959,8,4.74 
'437054',1959,9,2.61 
'437054',1959,10,8.08 
'437054',1959,11,5.78 
'437054',1959,12,3.37 
'437054',1960,1,1.89 
